gene	21373_7_20	21373_7_37	21373_7_60	21373_7_102	21373_7_106	21373_7_139	21373_7_152	21373_7_160	21373_7_166	21373_7_169	21373_7_175	21373_7_183	21373_7_202	21373_7_204	21373_7_216	21373_7_221	21373_7_225	21373_7_239	21373_7_254	21373_7_262	21373_7_271	21373_7_279	21373_7_304	21373_7_317	21373_7_327	21373_7_340	21373_7_346	21373_7_354	21373_7_358	21373_7_369	21373_7_377	21373_7_381
ENSMMUG00000020653	0	0	0	0	0	0	0	0	0	7.02	0	0	11.5114	0	0	0	0	0	0	31.02	0	47.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010726	0	90.01	0	2.01	0	206.01	50.01	70.01	0	10.01	9.01	156.01	25.01	62.01	7.01	46.01	0	203.01	63.0564	38.01	0	140.01	58.01	128.412	0	0	86.01	165.01	39.01	237.01	27.01	4.01
ENSMMUG00000029400	0	0	20.01	0	0	0	0	30.01	0	1.01	0	0	6.24633	0	0	0	0	0	57.01	0	0	0	0	0	0	12.01	2.01	0	0	0	22.01	0
ENSMMUG00000007130	0	0	0	0	0	0	0	0	0	0	6.75902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0
ENSMMUG00000031491	93.01	608.01	607.009	156.01	15.01	800.01	872.01	690.009	86.01	203.01	809.257	39.0268	728.01	1146.35	298.009	1008.95	104.278	518.003	938.008	709.867	1.01	1318.01	322.01	364.01	166.195	39.01	1339	795.007	481.01	1130.08	189.01	128.01
ENSMMUG00000031019	0	0	0	0	0	0	0	6.29312	0	3.01	0	0	0	0	0	0	0	111.171	0	0	0	0	4.01	0	0	0	13.7403	0	0	0	0	0
ENSMMUG00000003618	13.01	115.02	259.247	105.02	0	122.02	112.02	142.02	0	44.02	0	153.02	31.02	31.02	9.01	0	0	0	0	0	0	144.02	34.0155	147.02	22.01	0	98.02	125.02	77.0583	39.02	0	0
ENSMMUG00000011995	0	14.01	63.01	0	0	5.01	0	0	0	0	3.01	0	5.01	0	0	0	0	0	0	0	0	0	0	0	0	0	43.01	0	0	0	0	0
ENSMMUG00000005210	5.01	0	39.0626	0	0	0	0	17.01	6.01	3.01	0	0	0	44.02	2.01	0	0	0	0	8.01	39.01	0	0	101.01	27.01	0	0	1.01	0	19.01	7.01	0
ENSMMUG00000017132	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000021613	0	0	0	0	0	10.02	0	0	0	1.01	15.01	0	0	19.02	0	36.02	0	0	0	0	0	0	1.01	50.02	0	0	0	0	0	0	0	0
ENSMMUG00000019619	5.01	0	0	0	0	0	0	19.01	0	32.01	45.01	0	1.01045	0	16.01	0	0	0	69.01	72.01	104.02	0	100.01	31.01	40.01	10.01	1.01	0	0	1.01	17.01	34.01
