gene	21373_3_39	21373_3_72	21373_3_77	21373_3_78	21373_3_91	21373_3_92	21373_3_96	21373_3_104	21373_3_109	21373_3_110	21373_3_117	21373_3_128	21373_3_133	21373_3_142	21373_3_155	21373_3_156	21373_3_179	21373_3_205	21373_3_229	21373_3_230	21373_3_242	21373_3_259	21373_3_260	21373_3_266	21373_3_291	21373_3_292	21373_3_298	21373_3_305	21373_3_315	21373_3_316	21373_3_322	21373_3_330	21373_3_372
ENSRNOG00000009570	0	0	0	0	0	0	0	86.01	0	0	0	0	0	0	0	12.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.2853	0	0	0	0	0	0	0	0
ENSRNOG00000012471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008393	30.01	405.429	631.31	50.01	347.261	61.0001	195.01	885.442	97.01	177.01	300.02	191.41	247.224	462.01	101.01	132.02	570.02	534.463	666.304	39.3603	90.2675	1043.88	369.01	162.01	714.858	598.01	1198	1273.16	475.01	9.01	290.01	197.01	216.01
ENSRNOG00000009653	26.01	0	224.01	0	23.01	6.01	0	60.01	0	67.01	0	0	10.01	0	0	0	0	0	0	0	0	0	0	0	0	0	5.01	95.02	0	19.01	0	28.01	0
ENSRNOG00000016870	18.01	0	0	7.01	11.01	0	42.01	21.01	0	0	0	0	0	0	0	0	15.01	0	0	0	18.01	41.01	0	4.01	81.01	0	9.01	0	0	0	5.01	0	3.01
ENSRNOG00000060615	0	0	0	0	0	0	0	18.01	0	18.01	0	0	0	0	0	0	0	0	0	0	0	0	6.01	0	140.01	0	0	0	0	0	0	0	0
ENSRNOG00000014532	0	1.01	0	0	0	0	2.01498	1.01114	0	0	0	2.01	0	0	3.0651	0	0	0	4.07539	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008569	350.793	252.687	266.396	61.01	240.168	19.01	32.01	70.01	92.8833	47.7665	167.666	65.01	101.815	37.01	172.656	139.01	359.802	118.01	120.514	25.4317	131.551	272.183	138.342	44.01	154.01	211.548	145.616	34.01	122.612	50.7077	33.4855	41.01	48.01
ENSRNOG00000001593	1.01	65.02	78.02	25.01	202.01	5.01	18.01	195.01	16.01	16.01	81.01	15.01	28.01	80.01	0	13.01	0	0	38.01	36.01	0	91.01	12.01	0	84.01	0	20.01	103.01	195.01	0	12.01	22.01	0
ENSRNOG00000001205	0	0	0	0	0	0	0	0	0	0	0	11.01	0	0	0	155.01	0	199.01	141.01	0	0	0	0	0	0	0	79.01	0	0	0	45.01	0	0
ENSRNOG00000017868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
